W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS
0.569,40.8,87.2,0.468,12.4,33.4,0.373,19.7,24.2,0.812,10.6,35.1,45.6,24.1,13.2,7.0,4.8,5.0,19.3,19.8,113.7,41.3,89.1,0.463,11.9,34.2,0.349,16.9,21.1,0.803,10.0,32.7,42.7,24.4,12.3,7.7,5.0,4.8,19.8,19.3,111.4
0.5,41.5,88.9,0.466,13.6,36.4,0.374,16.1,20.8,0.775,10.6,33.6,44.3,23.5,14.1,7.7,5.3,4.6,20.4,19.3,112.6,39.9,86.0,0.464,12.8,34.3,0.374,18.5,23.5,0.785,9.4,33.1,42.5,24.1,14.1,7.4,4.6,5.3,19.3,20.4,111.2
0.306,38.6,85.8,0.45,10.0,29.7,0.336,16.7,22.4,0.743,10.4,32.3,42.8,23.8,15.5,7.8,4.5,5.9,18.2,20.2,103.8,42.0,86.7,0.484,12.4,32.4,0.383,15.9,20.4,0.779,9.9,33.8,43.7,25.4,14.3,8.5,5.9,4.5,20.2,18.2,112.3
0.431,42.5,89.1,0.477,10.6,30.4,0.348,19.0,26.1,0.729,11.7,35.7,47.4,26.0,14.6,7.6,4.4,5.9,18.0,21.3,114.6,41.9,89.3,0.469,14.5,38.1,0.38,16.6,21.1,0.79,8.9,32.9,41.8,25.9,13.3,7.7,5.9,4.4,21.3,18.0,114.9
0.431,42.2,88.6,0.476,12.6,34.0,0.37,13.8,17.5,0.791,9.6,35.3,45.0,26.8,15.1,6.7,4.2,5.1,18.9,17.7,110.7,41.4,87.7,0.473,11.5,32.3,0.356,17.2,22.2,0.774,8.7,33.5,42.1,24.1,12.7,8.5,5.1,4.2,17.7,18.9,111.6
0.583,41.1,87.3,0.47,13.8,38.1,0.362,16.5,21.2,0.778,9.1,34.2,43.3,22.9,12.1,6.3,4.3,3.7,19.4,20.1,112.4,40.1,87.1,0.46,12.8,35.2,0.365,17.2,22.5,0.764,9.8,34.2,43.9,22.7,12.6,7.3,3.7,4.3,20.1,19.4,110.2
0.653,43.3,89.2,0.485,12.9,34.2,0.377,15.7,19.5,0.803,10.5,33.9,44.4,26.8,13.5,8.1,4.5,4.5,19.1,19.2,115.1,40.0,85.4,0.469,13.0,35.7,0.363,17.1,22.1,0.773,9.1,32.1,41.2,25.9,14.1,7.5,4.5,4.5,19.2,19.1,110.1
0.542,41.3,88.2,0.468,14.6,38.7,0.376,16.6,21.1,0.785,8.0,35.1,43.0,27.7,15.0,8.2,4.8,4.3,21.2,19.5,113.7,40.2,89.0,0.452,12.4,34.5,0.359,19.8,25.5,0.778,10.7,36.6,47.3,23.8,15.0,7.9,4.3,4.8,19.5,21.2,112.7
0.236,39.3,88.5,0.444,13.8,40.6,0.339,16.5,22.3,0.74,9.3,33.3,42.6,23.6,14.7,7.6,5.0,5.3,19.5,19.3,108.8,42.7,89.0,0.48,13.4,35.2,0.382,17.9,22.8,0.783,9.9,37.7,47.6,25.8,14.7,8.5,5.3,5.0,19.3,19.5,116.7
0.653,41.8,86.7,0.482,14.3,34.7,0.411,16.2,19.3,0.839,9.4,34.7,44.2,24.4,13.2,7.1,4.1,4.2,19.2,18.1,114.0,40.1,86.4,0.464,11.6,32.5,0.356,16.1,20.7,0.777,9.2,32.0,41.2,22.9,12.8,7.1,4.2,4.1,18.1,19.2,107.8
0.583,40.6,86.1,0.472,11.1,31.2,0.354,17.2,23.3,0.739,9.7,34.6,44.2,24.7,15.2,7.8,5.4,4.5,19.1,21.3,109.5,39.8,86.4,0.46,11.4,32.2,0.352,15.9,20.5,0.776,8.8,33.2,42.0,24.7,15.2,8.2,4.5,5.4,21.3,19.1,106.8
0.556,39.2,83.7,0.468,12.9,36.2,0.358,16.7,21.1,0.79,8.0,33.5,41.5,26.3,14.1,7.9,4.0,4.0,18.9,19.6,108.1,39.1,85.2,0.459,14.3,39.1,0.365,15.6,19.9,0.782,9.5,33.4,42.9,25.8,15.1,7.5,4.0,4.0,19.6,18.9,108.0
0.639,44.7,91.8,0.487,14.4,37.1,0.389,16.2,21.4,0.76,10.3,37.8,48.1,25.5,13.8,8.1,4.6,4.8,17.3,18.3,120.1,42.4,92.9,0.456,14.8,38.6,0.384,14.6,18.8,0.78,9.6,33.8,43.4,25.1,13.2,7.0,4.8,4.6,18.3,17.3,114.2
